"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
 322,Paper products,...,...,...,...,...,...,105,47,18,82,224,...,5,...,...,0,94,337,...,900,...,148192,409,...,1203,1771,624,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,80,473,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,284,...,154849
 323,Printing and related support activities,...,...,...,...,...,...,23,...,...,...,12,...,246,...,...,...,...,394,...,91,255,791,72306,...,...,217,1106,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,226,28641,...,269,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,51,...,104629
 324,Petroleum and coal products,...,...,...,188,...,...,84,...,138,498,...,22,...,...,...,...,...,...,...,82,...,12,...,202555,11158,74,158,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,812,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,215786
 325,Chemical products,...,...,...,88,...,...,150,25,35,77,229,411,2361,105,136,0,...,521,1038,...,...,133,3,6573,402008,2950,7658,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,649,18149,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,443299
 326,Plastics and rubber products,...,...,...,...,...,...,86,85,57,731,768,1083,401,255,1217,197,175,652,...,580,...,1055,91,0,2274,156256,1800,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,128,993,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,310,...,169195
 42,Wholesale trade,...,414,...,...,...,...,2571,...,...,...,4,351,51,...,74,18,21,1459,3113,...,...,...,...,...,...,...,796867,...,...,...,...,...,...,...,...,...,26,428,85,...,...,...,...,...,...,...,...,...,...,9996,...,14245,1045,...,105,...,21,...,...,...,...,...,...,...,...,31745,...,...,...,...,...,...,...,862641
 441,Motor vehicle and parts dealers,...,...,...,...,...,...,10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,99615,...,...,...,...,...,...,2,...,...,516,149,...,...,...,...,2928,...,22,...,...,...,964,...,25,30,...,...,...,55,...,...,...,...,...,156,...,...,71259,...,...,...,...,...,...,...,175731
 445,Food and beverage stores,...,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,...,6516,...,...,...,...,...,...,...,...,...,135842,...,...,...,...,...,...,...,...,...,10,...,...,...,...,45,...,...,...,...,...,742,...,11,15,...,67,...,...,...,...,...,...,...,60,...,8267,351,...,...,...,...,...,...,...,151928
 452,General merchandise stores,...,...,...,...,...,...,1228,...,...,...,...,...,...,...,...,...,...,...,1283,...,7,...,...,...,...,...,...,...,...,129375,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,119,...,93,180,...,19,...,...,...,...,...,...,...,...,...,2047,3218,...,...,...,...,...,...,...,137569
 4A0,Other retail,181,...,...,...,...,...,1077,...,...,...,...,...,...,...,...,...,...,1094,...,...,297,...,29,...,...,...,...,...,...,...,490739,...,...,...,...,...,...,1384,11,...,...,...,...,52,...,14,...,43,...,5887,...,1519,851,...,1443,...,121,300,...,...,...,...,191,...,7242,11700,...,...,...,...,...,...,...,524177
 481,Air transportation,...,...,...,...,...,...,70,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,106979,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95,28,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,107172
 482,Rail transportation,...,...,...,...,...,...,458,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,40017,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,174,...,23,15,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,40687
 483,Water transportation,...,...,...,...,...,...,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,27183,...,...,...,505,...,...,...,...,...,...,...,...,...,...,...,34,...,11,2,...,...,...,...,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,27743
 484,Truck transportation,...,...,...,...,...,...,60,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,54,...,...,...,...,...,...,...,198295,...,...,1276,2190,...,...,...,...,...,...,...,...,...,...,0,...,60,170,...,...,44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,202150
 485,Transit and ground passenger transportation,...,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,...,4,...,...,...,...,26418,...,198,...,...,...,...,...,...,...,...,...,...,0,...,...,2,55,...,...,...,...,10,...,...,...,...,...,...,...,20,...,...,...,...,...,...,...,26709
 486,Pipeline transportation,...,...,...,...,...,962,21,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21717,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14,8,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22721
 487OS,Other transportation and support activities,...,5,...,...,...,...,160,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,196,...,...,...,46,154,...,77,181,36,...,111905,3662,...,...,...,...,...,...,0,...,...,...,85,...,108,2052,...,11,0,41,15,...,...,...,...,2,...,97,111,...,...,...,...,...,...,...,118945
 493,Warehousing and storage,...,...,...,...,...,...,101,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,365,...,...,...,735,...,...,724,34297,...,...,...,...,...,...,...,...,...,...,0,...,65,85,...,...,1,...,...,...,...,...,...,...,...,...,8,...,...,...,...,...,...,...,36380
 511,"Publishing industries, except internet (includes software)",...,...,...,...,...,...,9,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1601,...,...,...,502,...,...,...,301,...,...,...,...,...,...,...,...,172005,...,...,4636,...,...,...,...,...,...,22,...,12732,65655,...,705,...,1141,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,259309
 512,Motion picture and sound recording industries,...,...,...,...,...,...,12,...,...,...,...,...,105,...,...,...,...,...,...,...,...,...,...,...,...,...,233,...,...,...,100,...,...,...,...,...,...,...,...,...,111174,...,...,...,...,...,...,...,59,43,...,148,131,...,...,...,...,...,...,...,...,...,24,...,...,...,...,...,...,...,...,...,...,112028
 513,Broadcasting and telecommunications,...,...,...,...,...,...,1431,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2201,...,...,...,340,...,...,...,...,...,...,...,...,0,417,501540,389,...,...,...,...,...,...,2272,...,5559,63184,...,...,...,3,...,...,...,...,...,...,...,...,2515,...,...,...,...,...,...,...,579851
 514,"Data processing, internet publishing, and other information services",...,...,...,...,...,...,42,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,129,...,...,...,126,...,...,...,...,...,...,...,...,2858,...,161,53395,...,...,...,...,...,...,60,...,13702,5991,...,126,...,149,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76740
 521CI,"Federal Reserve banks, credit intermediation, and related activities",...,...,...,...,...,...,6,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,621,...,...,...,...,...,...,...,...,...,...,...,...,495788,38899,0,...,...,...,62353,...,3165,224,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,601056
 523,"Securities, commodity contracts, and investments",...,...,...,...,...,...,4,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7193,303888,677,...,...,...,...,...,1863,147,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,313772
 524,Insurance carriers and related activities,...,...,...,...,...,...,10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,455,451773,...,...,636,...,180,4580,298,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,457932
 525,"Funds, trusts, and other financial vehicles",...,...,...,...,...,...,10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,82292,...,...,...,...,58,10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,82370
HS,Housing Services,...,...,...,...,...,...,23363,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1074249,...,...,...,16,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1097633
ORE,Other Real Estate,...,...,...,...,...,...,171,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,504978,...,...,79,23,...,...,...,...,...,...,...,...,...,4,55,...,463,...,...,...,...,...,...,...,505773
 532RL,Rental and leasing services and lessors of intangible assets,...,...,...,...,...,...,137,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,137,...,...,...,2171,...,...,...,277,21,...,...,...,...,...,...,...,...,6,0,...,...,794,203486,...,110,10,...,...,...,0,...,...,...,...,...,...,...,...,680,...,...,...,...,...,...,...,207831
 5411,Legal services,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,204964,222,90,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,205277
 5415,Computer systems design and related services,...,...,...,...,...,...,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6428,...,...,...,450,...,...,...,...,...,...,...,...,1459,...,161,11606,...,...,...,...,...,...,...,...,174483,3444,...,2778,...,587,...,...,...,...,...,...,...,...,3262,...,...,...,...,...,...,...,204663
 5412OP,"Miscellaneous professional, scientific, and technical services",...,...,...,...,...,...,813,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24,...,...,...,1,...,...,...,2169,...,...,...,...,...,...,...,...,...,...,...,28,...,...,...,...,...,...,0,...,11363,691944,...,896,...,...,...,...,...,...,0,...,...,...,1032,...,...,...,...,...,...,...,708271
 55,Management of companies and enterprises,...,...,...,...,...,...,188,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4810,3371,251218,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,259587
 561,Administrative and support services,...,...,...,...,...,...,921,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1677,...,...,...,...,...,...,...,1259,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42,...,...,0,0,...,3781,4596,...,405980,255,0,4,...,...,12,...,...,...,...,0,...,...,...,...,...,...,...,418527
 562,Waste management and remediation services,...,...,95,...,...,...,24,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,57,...,9,107,...,...,51807,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,697,...,52871
 61,Educational services,...,...,...,...,...,...,540,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,691,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22,...,...,22,0,...,1493,13936,...,...,...,130845,...,...,...,...,337,...,4378,5107,15,...,...,...,...,...,...,...,157386
 621,Ambulatory health care services,...,...,...,...,...,...,236,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5172,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1172,...,187,111,...,...,...,...,486735,...,355,...,...,...,...,178,...,...,...,...,...,...,...,...,494146
 622,Hospitals,...,...,...,...,...,...,565,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1250,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,393,...,1038,2860,...,...,...,...,5906,333065,750,...,...,...,...,1210,...,...,...,...,...,...,...,...,347037
 623,Nursing and residential care facilities,...,...,...,...,...,...,29,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,51,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20,282,...,27,16,...,...,...,...,691,...,118607,11,...,...,...,237,...,...,...,...,...,...,...,...,119971
 624,Social assistance,...,...,...,...,...,...,146,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,343,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,57,17,...,...,...,...,146,...,189,93438,...,...,...,151,...,...,...,...,...,...,...,...,94488
 711AS,"Performing arts, spectator sports, museums, and related activities",...,...,...,...,...,...,187,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1405,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3354,...,57,3199,...,...,...,45,...,...,...,...,71666,1460,1,837,165,...,...,...,...,...,...,...,82375
 713,"Amusements, gambling, and recreation industries",...,...,...,...,...,...,243,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1641,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,102,...,10,104,...,...,...,1855,...,...,...,...,146,58115,263,10491,563,...,...,...,...,...,...,...,73534
 721,Accommodation,...,...,...,...,...,...,1002,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1427,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,6045,0,0,...,6,3,...,0,...,...,...,...,...,...,0,23901,90510,22669,0,...,...,...,...,...,...,...,145563
 722,Food services and drinking places,...,...,...,...,...,...,657,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1433,...,...,...,...,...,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,2,1,...,...,...,...,...,...,...,...,...,1315,606,374325,...,...,...,...,...,...,75,...,378416
 81,"Other services, except government",...,...,...,...,...,...,836,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,301,...,...,...,2042,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,0,352,...,523,1469,...,38,...,9,...,...,...,0,...,...,...,2488,433024,...,...,...,...,...,...,...,441080
GFGD,Federal general government (defense),...,...,...,...,...,...,8,...,...,...,...,1,...,...,...,...,...,1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24,...,8,...,...,...,...,...,...,...,...,1487,11785,...,...,...,132,...,839,...,...,12,...,...,...,...,325059,...,...,...,...,...,...,339355
GFGN,Federal general government (nondefense),...,104,...,...,...,53,226,...,...,1,...,...,...,...,...,...,...,62,...,...,...,...,8,...,7,...,...,...,...,...,...,...,...,...,...,...,...,...,...,181,...,...,...,...,...,...,81,...,...,...,...,2382,9699,...,...,...,...,...,1347,...,...,...,...,...,...,...,...,180332,451,...,...,...,700,195632
 GFE,Federal government enterprises,...,...,...,...,...,10538,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1569,...,...,...,...,...,...,...,...,...,100,...,...,...,...,384,...,...,638,...,...,25,...,...,...,...,...,...,...,...,...,...,...,...,1780,1,...,...,66264,...,...,...,...,81298
 GSLG,State and local general government,340,1985,...,261,...,728,13496,128,...,...,...,...,...,...,...,...,...,704,1008,...,781,354,915,...,59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,301,1,...,1384,...,...,...,14560,...,...,...,...,3167,30633,...,5353,9693,54888,15469,93424,...,2404,2073,1816,5884,11206,769,...,...,...,1039740,...,2775,...,1316298
 GSLE,State and local government enterprises,...,...,...,...,...,60013,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1466,...,87,157,...,8869,...,6694,...,...,...,...,...,60,...,0,...,4244,9770,...,...,...,...,...,...,...,...,...,...,...,...,461,12631,...,...,1388,...,...,...,...,48614,...,...,154456
