Industry Codes and Aggregations in the Industry Economic Accounts,,,,,,,,
"Estimates in the Industry Economic Accounts of the Bureau of Economic Analysis (BEA) are generally available at three levels of detail: sector (15 industry groups), summary (71 industry groups), and detail (389 industry groups).  For most data products, estimates at the detail level are available only for estimate year 2007 (due to the availability of detailed data from the 2007 Economic Census); however, estimates of gross output at the detail level are also available annually.  This table shows the relationship between these three levels of detail as well as how each level relates to the 2007 North American Industry Classification System (NAICS) code structure.",,,,,,,,
,,,,,,,,
BEA Code and Title,,,,Notes,Related 2007 NAICS Codes,,,
,,333991,Power-driven handtool manufacturing,,333991,,,
,,33399A,Other general purpose machinery manufacturing,,"333992, 333997, 333999",,,
,,333993,Packaging machinery manufacturing,,333993,,,
,,333994,Industrial process furnace and oven manufacturing,,333994,,,
,,33399B,Fluid power process machinery,,333995-6,,,
,,,,,,,,
,334,Computer and electronic products,,,,,,
,,,,,,,,
,,334111,Electronic computer manufacturing,,334111,,,
,,334112,Computer storage device manufacturing,,334112,,,
,,33411A,Computer terminals and other computer peripheral equipment manufacturing,,"334113, 334119",,,
,,334210,Telephone apparatus manufacturing,,33421,,,
,,334220,Broadcast and wireless communications equipment,,33422,,,
,,334290,Other communications equipment manufacturing,,33429,,,
,,334300,Audio and video equipment manufacturing,,3343,,,
,,33441A,Other electronic component manufacturing,,"334411, 334412, 334414-7, 334419",,,
,,334413,Semiconductor and related device manufacturing,,334413,,,
,,334418,Printed circuit assembly (electronic assembly) manufacturing,,334418,,,
,,334510,Electromedical and electrotherapeutic apparatus manufacturing,,334510,,,
,,334511,"Search, detection, and navigation instruments manufacturing",,334511,,,
,,334512,Automatic environmental control manufacturing,,334512,,,
,,334513,Industrial process variable instruments manufacturing,,334513,,,
,,334514,Totalizing fluid meter and counting device manufacturing,,334514,,,
,,334515,Electricity and signal testing instruments manufacturing,,334515,,,
,,334516,Analytical laboratory instrument manufacturing,,334516,,,
,,334517,Irradiation apparatus manufacturing,,334517,,,
,,33451A,"Watch, clock, and other measuring and controlling device manufacturing",,334518-9,,,
,,334610,Manufacturing and reproducing magnetic and optical media,,33461,,,
,,,,,,,,
,335,"Electrical equipment, appliances, and components",,,,,,
,,,,,,,,
,,335110,Electric lamp bulb and part manufacturing,,33511,,,
,,335120,Lighting fixture manufacturing,,33512,,,
,,335210,Small electrical appliance manufacturing,,33521,,,
,,335221,Household cooking appliance manufacturing,,335221,,,
,,335222,Household refrigerator and home freezer manufacturing,,335222,,,
,,335224,Household laundry equipment manufacturing,,335224,,,
,,335228,Other major household appliance manufacturing,,335228,,,
,,335311,"Power, distribution, and specialty transformer manufacturing",,335311,,,
,,335312,Motor and generator manufacturing,,335312,,,
,,335313,Switchgear and switchboard apparatus manufacturing,,335313,,,
,,335314,Relay and industrial control manufacturing,,335314,,,
,,335911,Storage battery manufacturing,,335911,,,
,,335912,Primary battery manufacturing,,335912,,,
,,335920,Communication and energy wire and cable manufacturing,,33592,,,
,,335930,Wiring device manufacturing,,33593,,,
,,335991,Carbon and graphite product manufacturing,,335991,,,
,,335999,All other miscellaneous electrical equipment and component manufacturing,,335999,,,
,,,,,,,,
,3361MV,"Motor vehicles, bodies and trailers, and parts",,,,,,
,,,,,,,,
,,336111,Automobile manufacturing,,336111,,,
,,336112,Light truck and utility vehicle manufacturing,,336112,,,
,,336120,Heavy duty truck manufacturing,,33612,,,
,,336211,Motor vehicle body manufacturing,,336211,,,
,,336212,Truck trailer manufacturing,,336212,,,
,,336213,Motor home manufacturing,,336213,,,
,,336214,Travel trailer and camper manufacturing,,336214,,,
,,336310,Motor vehicle gasoline engine and engine parts manufacturing,,33631,,,
,,336320,Motor vehicle electrical and electronic equipment manufacturing,,33632,,,
,,3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",,33633-4,,,
,,336350,Motor vehicle transmission and power train parts manufacturing,,33635,,,
,,336360,Motor vehicle seating and interior trim manufacturing,,33636,,,
,,336370,Motor vehicle metal stamping,,33637,,,
,,336390,Other motor vehicle parts manufacturing,,33639,,,
,,,,,,,,
,3364OT,Other transportation equipment,,,,,,
,,,,,,,,
,,336411,Aircraft manufacturing,,336411,,,
,,336412,Aircraft engine and engine parts manufacturing,,336412,,,
,,336413,Other aircraft parts and auxiliary equipment manufacturing,,336413,,,
,,336414,Guided missile and space vehicle manufacturing,,336414,,,
,,33641A,Propulsion units and parts for space vehicles and guided missiles,,"336415, 336419",,,
,,336500,Railroad rolling stock manufacturing,,3365,,,
,,336611,Ship building and repairing,,336611,,,
,,336612,Boat building,,336612,,,
,,336991,"Motorcycle, bicycle, and parts manufacturing",,336991,,,
,,336992,"Military armored vehicle, tank, and tank component manufacturing",,336992,,,
,,336999,All other transportation equipment manufacturing,,336999,,,
,,,,,,,,
,337,Furniture and related products,,,,,,
,,,,,,,,
,,337110,Wood kitchen cabinet and countertop manufacturing,,33711,,,
,,337121,Upholstered household furniture manufacturing,,337121,,,
,,337122,Nonupholstered wood household furniture manufacturing,,337122,,,
,,33712A,Other household nonupholstered furniture,,"337124, 337125, 337129",,,
,,337127,Institutional furniture manufacturing,,337127,,,
,,33721A,Office furniture and custom architectural woodwork and millwork manufacturing,,"337211, 337212, 337214",,,
,,337215,"Showcase, partition, shelving, and locker manufacturing",,337215,,,
,,337900,Other furniture related product manufacturing,,3379,,,
,,,,,,,,
,339,Miscellaneous manufacturing,,,,,,
,,,,,,,,
,,339112,Surgical and medical instrument manufacturing,,339112,,,
,,339113,Surgical appliance and supplies manufacturing,,339113,,,
,,339114,Dental equipment and supplies manufacturing,,339114,,,
,,339115,Ophthalmic goods manufacturing,,339115,,,
,,339116,Dental laboratories,,339116,,,
,,339910,Jewelry and silverware manufacturing,,33991,,,
,,339920,Sporting and athletic goods manufacturing,,33992,,,
,,339930,"Doll, toy, and game manufacturing",,33993,,,
,,339940,Office supplies (except paper) manufacturing,,33994,,,
,,339950,Sign manufacturing,,33995,,,
,,339990,All other miscellaneous manufacturing,,33999,,,
,,,,,,,,
,311FT,Food and beverage and tobacco products,,,,,,
,,,,,,,,
,,311111,Dog and cat food manufacturing,,311111,,,
,,311119,Other animal food manufacturing,,311119,,,
,,311210,Flour milling and malt manufacturing,,31121,,,
,,311221,Wet corn milling,,311221,,,
,,31122A,Soybean and other oilseed processing,,311222-3,,,
,,311225,Fats and oils refining and blending,,311225,,,
,,311230,Breakfast cereal manufacturing,,31123,,,
,,311300,Sugar and confectionery product manufacturing,,3113,,,
,,311410,Frozen food manufacturing,,31141,,,
,,311420,"Fruit and vegetable canning, pickling, and drying",,31142,,,
,,31151A,Fluid milk and butter manufacturing,,311511-2,,,
,,311513,Cheese manufacturing,,311513,,,
,,311514,"Dry, condensed, and evaporated dairy product manufacturing",,311514,,,
,,311520,Ice cream and frozen dessert manufacturing,,31152,,,
,,31161A,"Animal (except poultry) slaughtering, rendering, and processing",,311611-3,,,
,,311615,Poultry processing,,311615,,,
,,311700,Seafood product preparation and packaging,,3117,,,
,,311810,Bread and bakery product manufacturing,,31181,,,
,,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",,31182-3,,,
,,311910,Snack food manufacturing,,31191,,,
,,311920,Coffee and tea manufacturing,,31192,,,
,,311930,Flavoring syrup and concentrate manufacturing,,31193,,,
,,311940,Seasoning and dressing manufacturing,,31194,,,
,,311990,All other food manufacturing,,31199,,,
,,312110,Soft drink and ice manufacturing,,31211,,,
,,312120,Breweries,,31212,,,
,,312130,Wineries,,31213,,,
,,312140,Distilleries,,31214,,,
,,312200,Tobacco product manufacturing,,3122,,,
,,,,,,,,
,313TT,Textile mills and textile product mills,,,,,,
,,,,,,,,
,,313100,"Fiber, yarn, and thread mills",,3131,,,
,,313200,Fabric mills,,3132,,,
,,313300,Textile and fabric finishing and fabric coating mills,,3133,,,
,,314110,Carpet and rug mills,,31411,,,
,,314120,Curtain and linen mills,,31412,,,
,,314900,Other textile product mills,,3149,,,
,,,,,,,,
,315AL,Apparel and leather and allied products,,,,,,
,,,,,,,,
,,315000,Apparel manufacturing,,315,,,
,,316000,Leather and allied product manufacturing,,316,,,
,,,,,,,,
,322,Paper products,,,,,,
,,,,,,,,
,,322110,Pulp mills,,32211,,,
,,322120,Paper mills,,32212,,,
,,322130,Paperboard mills,,32213,,,
,,322210,Paperboard container manufacturing,,32221,,,
,,322220,Paper bag and coated and treated paper manufacturing,,32222,,,
,,322230,Stationery product manufacturing,,32223,,,
,,322291,Sanitary paper product manufacturing,,322291,,,
,,322299,All other converted paper product manufacturing,,322299,,,
,,,,,,,,
,323,Printing and related support activities,,,,,,
,,,,,,,,
,,323110,Printing,,32311,,,
,,323120,Support activities for printing,,32312,,,
,,,,,,,,
,324,Petroleum and coal products,,,,,,
,,,,,,,,
,,324110,Petroleum refineries,,32411,,,
,,324121,Asphalt paving mixture and block manufacturing,,324121,,,
,,324122,Asphalt shingle and coating materials manufacturing,,324122,,,
,,324190,Other petroleum and coal products manufacturing,,32419,,,
,,,,,,,,
,325,Chemical products,,,,,,
,,,,,,,,
,,325110,Petrochemical manufacturing,,32511,,,
,,325120,Industrial gas manufacturing,,32512,,,
,,325130,Synthetic dye and pigment manufacturing,,32513,,,
,,325180,Other basic inorganic chemical manufacturing,,32518,,,
,,325190,Other basic organic chemical manufacturing,,32519,,,
,,325211,Plastics material and resin manufacturing,,325211,,,
,,3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,,"325212, 32522",,,
,,325310,Fertilizer manufacturing,,32531,,,
,,325320,Pesticide and other agricultural chemical manufacturing,,32532,,,
,,325411,Medicinal and botanical manufacturing,,325411,,,
,,325412,Pharmaceutical preparation manufacturing,,325412,,,
,,325413,In-vitro diagnostic substance manufacturing,,325413,,,
,,325414,Biological product (except diagnostic) manufacturing,,325414,,,
,,325510,Paint and coating manufacturing,,32551,,,
,,325520,Adhesive manufacturing,,32552,,,
,,325610,Soap and cleaning compound manufacturing,,32561,,,
,,325620,Toilet preparation manufacturing,,32562,,,
,,325910,Printing ink manufacturing,,32591,,,
,,3259A0,All other chemical product and preparation manufacturing,,"32592, 32599",,,
,,,,,,,,
,326,Plastics and rubber products,,,,,,
,,,,,,,,
,,326110,Plastics packaging materials and unlaminated film and sheet manufacturing,,32611,,,
,,326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",,32612,,,
,,326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",,32613,,,
,,326140,Polystyrene foam product manufacturing,,32614,,,
,,326150,Urethane and other foam product (except polystyrene) manufacturing,,32615,,,
,,326160,Plastics bottle manufacturing,,32616,,,
,,326190,Other plastics product manufacturing,,32619,,,
,,326210,Tire manufacturing,,32621,,,
,,326220,Rubber and plastics hoses and belting manufacturing,,32622,,,
,,326290,Other rubber product manufacturing,,32629,,,
,,,,,,,,
42,Wholesale trade,,,,,,,
,,,,,,,,
,42,Wholesale trade,,,,,,
,,,,,,,,
,,420000,Wholesale trade,*,42,,,
,,,,,,,,
44RT,Retail trade,,,,,,,
,,,,,,,,
,441,Motor vehicle and parts dealers,,,,,,
,,,,,,,,
,,441000,Motor vehicle and parts dealers,,441,,,
,,,,,,,,
,445,Food and beverage stores,,,,,,
,,,,,,,,
,,445000,Food and beverage stores,,445,,,
,,,,,,,,
,452,General merchandise stores,,,,,,
,,,,,,,,
,,452000,General merchandise stores,,452,,,
,,,,,,,,
,4A0,Other retail,,,,,,
,,,,,,,,
,,4A0000,Other retail,*,"442-4, 446-8, 451, 453-4",,,
,,,,,,,,
48TW,Transportation and warehousing,,,,,,,
,,,,,,,,
,481,Air transportation,,,,,,
,,,,,,,,
,,481000,Air transportation,,481,,,
,,,,,,,,
,482,Rail transportation,,,,,,
,,,,,,,,
,,482000,Rail transportation,,482,,,
,,,,,,,,
,483,Water transportation,,,,,,
,,,,,,,,
,,483000,Water transportation,,483,,,
,,,,,,,,
,484,Truck transportation,,,,,,
,,,,,,,,
,,484000,Truck transportation,,484,,,
,,,,,,,,
,485,Transit and ground passenger transportation,,,,,,
,,,,,,,,
,,485000,Transit and ground passenger transportation,,485,,,
,,,,,,,,
,486,Pipeline transportation,,,,,,
,,,,,,,,
,,486000,Pipeline transportation,,486,,,
,,,,,,,,
,487OS,Other transportation and support activities,,,,,,
,,,,,,,,
,,48A000,Scenic and sightseeing transportation and support activities for transportation,,"487, 488",,,
,,492000,Couriers and messengers,,492,,,
,,,,,,,,
,493,Warehousing and storage,,,,,,
,,,,,,,,
,,493000,Warehousing and storage,,493,,,
,,,,,,,,
51,Information,,,,,,,
,,,,,,,,
,511,"Publishing industries, except internet (includes software)",,,,,,
,,,,,,,,
,,511110,Newspaper publishers,,51111,,,
,,511120,Periodical Publishers,,51112,,,
,,511130,Book publishers,,51113,,,
,,5111A0,"Directory, mailing list, and other publishers",,"51114, 51119",,,
,,511200,Software publishers,,51121,,,
,,,,,,,,
,512,Motion picture and sound recording industries,,,,,,
,,,,,,,,
,,512100,Motion picture and video industries,,5121,,,
,,512200,Sound recording industries,,5122,,,
,,,,,,,,
,513,Broadcasting and telecommunications,,,,,,
,,,,,,,,
,,515100,Radio and television broadcasting,,5151,,,
,,515200,Cable and other subscription programming,,5152,,,
,,517110,Wired telecommunications carriers,,5171,,,
,,517210,Wireless telecommunications carriers (except satellite),,5172,,,
,,517A00,"Satellite, telecommunications resellers, and all other telecommunications",,"5174, 5719",,,
,,,,,,,,
,514,"Data processing, internet publishing, and other information services",,,,,,
,,,,,,,,
,,518200,"Data processing, hosting, and related services",,5182,,,
,,5191A0,"News syndicates, libraries, archives and all other information services",,"51911-2, 51919",,,
,,519130,Internet publishing and broadcasting and Web search portals,,51913,,,
,,,,,,,,
FIRE,"Finance, insurance, real estate, rental, and leasing",,,,,,,
,,,,,,,,
,521CI,"Federal Reserve banks, credit intermediation, and related activities",,,,,,
,,,,,,,,
,,52A000,Monetary authorities and depository credit intermediation,,"521, 5221",,,
,,522A00,Nondepository credit intermediation and related activities,,5222-3,,,
,,,,,,,,
,523,"Securities, commodity contracts, and investments",,,,,,
,,,,,,,,
,,523A00,Securities and commodity contracts intermediation and brokerage,,5231-2,,,
,,523900,Other financial investment activities,,5239,,,
,,,,,,,,
,524,Insurance carriers and related activities,,,,,,
,,,,,,,,
,,524100,Insurance carriers,,5241,,,
,,524200,"Insurance agencies, brokerages, and related activities",,5242,,,
,,,,,,,,
,525,"Funds, trusts, and other financial vehicles",,,,,,
,,,,,,,,
,,525000,"Funds, trusts, and other financial vehicles",,525,,,
,,,,,,,,
,531,Real estate,,,,,,
,,,,,,,,
,,5310HS,Housing,,531,,,
,,531ORE,Other real estate,,531,,,
,,,,,,,,
,532RL,Rental and leasing services and lessors of intangible assets,,,,,,
,,,,,,,,
,,532100,Automotive equipment rental and leasing,,5321,,,
,,532A00,Consumer goods and general rental centers,,5322-3,,,
,,532400,Commercial and industrial machinery and equipment rental and leasing,,5324,,,
,,533000,Lessors of nonfinancial intangible assets,,533,,,
,,,,,,,,
PROF,Professional and business services,,,,,,,
,,,,,,,,
,5411,Legal services,,,,,,
,,,,,,,,
,,541100,Legal services,,5411,,,
,,,,,,,,
,5415,Computer systems design and related services,,,,,,
,,,,,,,,
,,541511,Custom computer programming services,,541511,,,
,,541512,Computer systems design services,,541512,,,
,,54151A,"Other computer related services, including facilities management",,"541513, 541519",,,
,,,,,,,,
,5412OP,"Miscellaneous professional, scientific, and technical services",,,,,,
,,,,,,,,
,,541200,"Accounting, tax preparation, bookkeeping, and payroll services",,5412,,,
,,541300,"Architectural, engineering, and related services",,5413,,,
,,541400,Specialized design services,,5414,,,
,,541610,Management consulting services,,54161,,,
,,5416A0,Environmental and other technical consulting services,,"54162, 54169",,,
,,541700,Scientific research and development services,,5417,,,
,,541800,"Advertising, public relations, and related services",,5418,,,
,,5419A0,"Marketing research and all other miscellaneous professional, scientific, and technical services",,"54191, 54193, 54199",,,
,,541920,Photographic services,,54192,,,
,,541940,Veterinary services,,54194,,,
,,,,,,,,
,55,Management of companies and enterprises,,,,,,
,,,,,,,,
,,550000,Management of companies and enterprises,,55,,,
,,,,,,,,
,561,Administrative and support services,,,,,,
,,,,,,,,
,,561100,Office administrative services,,5611,,,
,,561200,Facilities support services,,5612,,,
,,561300,Employment services,,5613,,,
,,561400,Business support services,,5614,,,
,,561500,Travel arrangement and reservation services,,5615,,,
,,561600,Investigation and security services,,5616,,,
,,561700,Services to buildings and dwellings,,5617,,,
,,561900,Other support services,,5619,,,
,,,,,,,,
,562,Waste management and remediation services,,,,,,
,,,,,,,,
,,562000,Waste management and remediation services,,562,,,
,,,,,,,,
6,"Educational services, health care, and social assistance",,,,,,,
,,,,,,,,
,61,Educational services,,,,,,
,,,,,,,,
,,611100,Elementary and secondary schools,,6111,,,
,,611A00,"Junior colleges, colleges, universities, and professional schools",,6112-3,,,
,,611B00,Other educational services,,6114-7,,,
,,,,,,,,
,621,Ambulatory health care services,,,,,,
,,,,,,,,
,,621100,Offices of physicians,,6211,,,
,,621200,Offices of dentists,,6212,,,
,,621300,Offices of other health practitioners,,6213,,,
,,621400,Outpatient care centers,,6214,,,
,,621500,Medical and diagnostic laboratories,,6215,,,
,,621600,Home health care services,,6216,,,
,,621900,Other ambulatory health care services,,6219,,,
,,,,,,,,
,622,Hospitals,,,,,,
,,,,,,,,
,,622000,Hospitals,,622,,,
,,,,,,,,
,623,Nursing and residential care facilities,,,,,,
,,,,,,,,
,,623A00,Nursing and community care facilities,,"6231, 6233",,,
,,623B00,"Residential mental retardation, mental health, substance abuse and other facilities",,"6232, 6239",,,
,,,,,,,,
,624,Social assistance,,,,,,
,,,,,,,,
,,624100,Individual and family services,,6241,,,
,,624A00,"Community food, housing, and other relief services, including rehabilitation services",,6242-3,,,
,,624400,Child day care services,,6244,,,
,,,,,,,,
7,"Arts, entertainment, recreation, accommodation, and food services",,,,,,,
,,,,,,,,
,711AS,"Performing arts, spectator sports, museums, and related activities",,,,,,
,,,,,,,,
,,711100,Performing arts companies,,7111,,,
,,711200,Spectator sports,,7112,,,
,,711A00,Promoters of performing arts and sports and agents for public figures,,7113-4,,,
,,711500,"Independent artists, writers, and performers",,7115,,,
,,712000,"Museums, historical sites, zoos, and parks",,712,,,
,,,,,,,,
,713,"Amusements, gambling, and recreation industries",,,,,,
,,,,,,,,
,,713100,Amusement parks and arcades,,7131,,,
,,713200,Gambling industries (except casino hotels),,7132,,,
,,713900,Other amusement and recreation industries,,7139,,,
,,,,,,,,
,721,Accommodation,,,,,,
,,,,,,,,
,,721000,Accommodation,,721,,,
,,,,,,,,
,722,Food services and drinking places,,,,,,
,,,,,,,,
,,722110,Full-service restaurants,,7221,,,
,,722211,Limited-service restaurants,,7222,,,
,,722A00,All other food and drinking places,,7223-4,,,
,,,,,,,,
81,"Other services, except government",,,,,,,
,,,,,,,,
,81,"Other services, except government",,,,,,
,,,,,,,,
,,811100,Automotive repair and maintenance,,8111,,,
,,811200,Electronic and precision equipment repair and maintenance,,8112,,,
,,811300,Commercial and industrial machinery and equipment repair and maintenance,,8113,,,
,,811400,Personal and household goods repair and maintenance,,8114,,,
,,812100,Personal care services,,8121,,,
,,812200,Death care services,,8122,,,
,,812300,Dry-cleaning and laundry services,,8123,,,
,,812900,Other personal services,,8129,,,
,,813100,Religious organizations,,8131,,,
,,813A00,"Grantmaking, giving, and social advocacy organizations",,"8132, 8133",,,
,,813B00,"Civic, social, professional, and similar organizations",,"8134, 8139",,,
,,814000,Private households,,814,,,
,,,,,,,,
G,Government,,,,,,,
,,,,,,,,
,GFG,Federal general government,,,,,,
,,,,,,,,
,,S00500,Federal general government (defense),,n/a,,,
,,S00600,Federal general government (nondefense),,n/a,,,
,,,,,,,,
,GFE,Federal government enterprises,,,,,,
,,,,,,,,
,,491000,Postal service,,491,,,
,,S00101,Federal electric utilities,**,n/a,,,
,,S00102,Other federal government enterprises,,n/a,,,
,,,,,,,,
,GSLG,State and local general government,,,,,,
,,,,,,,,
,,S00700,State and local general government,,n/a,,,
,,,,,,,,
