IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/
482,Rail transportation,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,116,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,Water transportation,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58878,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0
484,Truck transportation,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,301807,0,0,2291,4254,0,0,0,0,0,0,0,0,0,0,199,0,60,114,0,0,1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,Transit and ground passenger transportation,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,33,0,0,0,0,53625,0,344,0,0,0,0,0,0,0,0,0,0,5,0,0,0,28,0,0,0,0,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
486,Pipeline transportation,0,0,0,0,0,668,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,Other transportation and support activities,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,15,295,0,1383,448,152,0,192930,5504,0,0,0,0,0,0,41,0,0,0,100,0,189,174,0,29,2,0,6,0,0,0,0,0,0,111,210,0,0,0,0,0,0,0
493,Warehousing and storage,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1669,0,0,169,85438,0,0,0,0,0,0,0,0,0,0,8,0,89,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,"Publishing industries, except internet (includes software)",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,820,0,0,0,167,0,0,0,0,0,0,0,0,229621,0,0,8194,0,0,0,0,0,0,17,0,19293,52685,0,543,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,Motion picture and sound recording industries,0,0,0,0,0,0,93,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,555,0,0,0,0,0,0,0,0,0,147259,0,0,0,0,0,0,0,116,101,0,258,305,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
513,Broadcasting and telecommunications,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4263,0,0,0,1432,0,0,0,0,0,0,0,0,0,395,661569,0,0,0,0,0,0,0,3689,0,3125,97246,0,0,0,0,0,0,0,0,0,0,0,0,1812,0,0,0,0,0,0,0
514,"Data processing, internet publishing, and other information services",0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,135,0,0,0,0,0,0,0,0,7059,0,117,120792,0,0,0,0,0,0,67,0,18185,41723,0,137,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521CI,"Federal Reserve banks, credit intermediation, and related activities",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,572065,44827,758,0,0,0,52681,0,5381,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,"Securities, commodity contracts, and investments",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14741,428504,2698,0,0,0,0,0,3022,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,Insurance carriers and related activities,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,808226,0,0,0,0,462,6582,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,"Funds, trusts, and other financial vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137216,0,0,0,0,74,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS,Housing,0,0,0,0,0,0,10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1737735,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,Other real estate,0,0,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,872332,0,0,90,115,0,0,0,0,0,0,0,0,0,0,56,0,72,0,0,0,0,0,0,0
532RL,Rental and leasing services and lessors of intangible assets,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,1562,0,0,0,571,15,0,0,0,0,0,0,0,0,25,575,0,0,1778,311503,0,134,11,0,0,0,4,0,0,0,0,0,0,0,0,1705,0,0,0,0,0,0,0
5411,Legal services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301736,246,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5415,Computer systems design and related services,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6261,0,0,0,2443,0,0,0,0,0,0,0,0,1692,0,148,26741,0,0,0,0,0,0,0,0,293756,2776,0,3446,0,1304,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0
5412OP,"Miscellaneous professional, scientific, and technical services",0,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,3758,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,29,0,19430,1135454,0,1909,0,0,0,0,0,0,7,0,0,0,1101,0,0,0,0,0,0,0
55,Management of companies and enterprises,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9651,4993,544126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,Administrative and support services,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,717,29,0,6795,6261,0,670925,44,8,7,0,0,75,0,0,0,0,6,0,0,0,0,0,0,0
562,Waste management and remediation services,0,0,176,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,65,96,0,0,85635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,0
61,Educational services,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,267,141,0,3596,24305,0,0,0,259657,0,0,0,0,1166,0,12005,5230,11,0,0,0,0,0,0,0
621,Ambulatory health care services,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4809,0,732,118,0,0,0,0,876473,0,279,0,0,0,0,224,0,0,0,0,0,0,0,0
622,Hospitals,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,2157,4119,0,0,0,0,2835,704880,90,0,0,0,0,3290,0,0,0,0,0,0,0,0
623,Nursing and residential care facilities,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,11,17,0,0,0,0,965,0,211959,361,0,0,0,612,0,0,0,0,0,0,0,0
624,Social assistance,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,11,0,0,0,0,137,0,2579,162581,0,0,0,0,0,0,0,0,0,0,0,0
711AS,"Performing arts, spectator sports, museums, and related activities",0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453,0,53,6315,0,0,0,33,0,0,0,0,131571,2531,3,2591,296,0,0,0,0,0,0,0
713,"Amusements, gambling, and recreation industries",0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,9,194,0,0,0,1617,0,0,0,0,214,109315,476,15591,955,0,0,0,0,0,0,0
721,Accommodation,0,0,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,7551,806,956,0,18,2,0,1,0,0,0,0,0,0,1121,26520,135585,34748,975,0,0,0,0,0,0,0
722,Food services and drinking places,0,0,0,0,0,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1050,170,621565,0,0,0,0,0,0,121,0
81,"Other services, except government",0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,5091,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,329,311,0,564,1022,0,0,0,4,0,0,0,40,0,0,0,4821,588589,0,0,0,0,0,0,0
GFGD,Federal general government (defense),0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,14,0,0,0,0,0,0,0,0,2161,21315,0,0,0,229,0,1458,0,0,20,0,0,0,0,614409,0,0,0,0,0,0
GFGN,Federal general government (nondefense),0,76,0,0,0,38,304,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,59,0,0,0,0,2455,13514,0,0,0,0,0,984,0,0,0,0,0,0,0,0,346870,329,0,0,0,3096
GFE,Federal government enterprises,0,0,0,0,0,13856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,113,0,0,0,0,-589,0,0,861,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,2353,0,0,0,70700,0,0,0,0
GSLG,State and local general government,573,3344,0,439,0,1226,15978,216,0,0,0,0,0,0,0,0,0,1186,1699,0,1316,596,1541,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,1,0,2330,0,0,0,24525,0,0,0,0,4951,47010,0,9017,16327,92453,18925,167133,0,4050,3491,3059,9911,17260,1295,0,0,0,1560691,0,4674,0
GSLE,State and local government enterprises,0,0,0,0,0,98525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625,0,153,234,0,14040,0,11415,0,0,0,0,0,27,0,0,0,5464,21562,0,0,0,0,0,0,0,0,0,0,0,0,462,27199,0,0,2958,0,0,0,0,85614,0,0
